"INDEX_NAME","SITE_TYPE","METRIC_NAME","SAMPLEID","METRIC_VALUE","INDEX_REGION","LEVEL","NUMERIC_RULES","SYMBOL","LOWER","UPPER","INCREASE","DESCRIPTION","RULE_TYPE","EXC_RULE","NOTE_RULE","MEMBERSHIP","NAME_WIDE"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","WAM06600-005141-DCE-2010-0723-12:00",541,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","16018PRB",523,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","17003TRD",556,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","17014TRD",570,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","5772_8645",533,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","WAM06600-008504-DCE-2017-0725-09:44",556,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","8758_13684",526,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","WAM06600-009134-DCE-2011-0828-11:35",521,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","WAM06600-009134-DCE-2015-0825-09:40",528,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","WAM06600-009724-DCE-2012-0829-08:15",531,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","WAM06600-009724-DCE-2017-0724-09:45",533,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","9259_14262",553,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","9708_14726",541,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","9769_14788",580,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","WAM06600-011061-DCE-2014-0727-10:21",540,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
"BCG_MariNW_Bugs500ct","higrad-hielev","ni_total","WAM06600-011788-DCE-2012-0818-11:20",536,"HiGrad-HiElev",5,"≥ 400 (390-410)",">=",390,410,TRUE,"Number of total individuals","Rule0",NA,NA,1,"higrad-hielev_L5_Rule0_ni_total"
