"INDEX_NAME","INDEX_CLASS","METRIC_NAME","SAMPLEID","METRIC_VALUE","LEVEL","NUMERIC_RULES","SYMBOL","LOWER","UPPER","INCREASE","DESCRIPTION","RULE_TYPE","EXC_RULE","NOTE_RULE","SITE_TYPE","INDEX_REGION","MEMBERSHIP","NAME_WIDE"
"BCG_MariNW_Bugs500ct","higrad-hielev","pi_BCG_att1i23","05014REFa",49.4208494208494,2,"≥ 35% (30-40)",">=",30,40,TRUE,"% Attribute Ii+II+III % individuals","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L2_Rule0_pi_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","pi_BCG_att1i23","05014REF",45.9119496855346,3,"≥ 20% (15-25)",">=",15,25,TRUE,"% Attribute Ii+II+III % individuals","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_pi_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","pi_BCG_att1i23","05014REF",45.9119496855346,2,"≥ 35% (30-40)",">=",30,40,TRUE,"% Attribute Ii+II+III % individuals","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L2_Rule0_pi_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","pi_BCG_att1i23","06095DFW",37.6146788990826,3,"≥ 20% (15-25)",">=",15,25,TRUE,"% Attribute Ii+II+III % individuals","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_pi_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","pi_BCG_att1i23","06095DFW",37.6146788990826,2,"≥ 35% (30-40)",">=",30,40,TRUE,"% Attribute Ii+II+III % individuals","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",0.761467889908257,"higrad-hielev_L2_Rule0_pi_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_BCG_att1i23","05014REFa",52.0833333333333,3,"≥ 30% (25-35)",">=",25,35,TRUE,"% Attribute Ii+II+III % taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_pt_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_BCG_att1i23","05014REFa",52.0833333333333,2,"≥ 45% (40-50)",">=",40,50,TRUE,"% Attribute Ii+II+III % taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L2_Rule0_pt_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_BCG_att1i23","05014REFa",52.0833333333333,4,"≥ 10% (5-15)",">=",5,15,TRUE,"% Attribute Ii+II+III % taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L4_Rule0_pt_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_BCG_att1i23","06095DFW",47.9166666666667,3,"≥ 30% (25-35)",">=",25,35,TRUE,"% Attribute Ii+II+III % taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",1,"higrad-hielev_L3_Rule0_pt_BCG_att1i23"
"BCG_MariNW_Bugs500ct","higrad-hielev","pt_BCG_att1i23","06095DFW",47.9166666666667,2,"≥ 45% (40-50)",">=",40,50,TRUE,"% Attribute Ii+II+III % taxa","Rule0",NA,NA,"HiGrad-HiElev","HiGrad-HiElev",0.791666666666666,"higrad-hielev_L2_Rule0_pt_BCG_att1i23"
