"SampleID","L1","L2","L3","L4","L5","L6","Memb.Total","Memb.QC","Lev.1.Memb","Lev.1.Name","Lev.2.Memb","Lev.2.Name","Lev.Memb.Diff","Lev.Memb.close","Lev.Prop.Num","Lev.Prop.Nar"
"BIO06600-NSKO01-DCE-2016-0915-10:04",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-QUAR77-DCE-2015-0715-10:11",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-RACE77-DCE-2015-0813-11:45",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-RACE77-DCE-2017-0809-10:59",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-ROBI77-DCE-2015-0930-08:25",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-RUSH04-DCE-2012-0918-09:15",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-RUSH04-DCE-2015-0908-08:33",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-RUSH04-DCE-2016-0830-09:10",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-SINL77-DCE-2016-0921-09:58",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-SUMM04-DCE-2012-0829-09:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-SUMM04-DCE-2017-0726-09:59",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-SUND04-DCE-2015-0722-10:41",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-SUND04-DCE-2017-0725-10:10",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-WARC77-DCE-2012-0816-08:50",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-WARC77-DCE-2015-0923-09:04",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-WARC77-DCE-2017-0816-08:47",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-YOUN02-DCE-2013-0731-12:00",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"BIO06600-YOUN02-DCE-2017-0712-13:41",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"ERR06600-049208-DCE-2012-0803-10:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-LAUG07-DCE-2011-0913-12:00",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-LAUG07-DCE-2012-0905-11:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-LAUG07-DCE-2013-0910-12:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-LAUG07-DCE-2014-0806-11:00",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-LAUG07-DCE-2015-0923-11:23",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-LAUG07-DCE-2016-0810-10:34",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-LAUG07-DCE-2017-0830-11:19",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-MARB21-DCE-2012-0814-12:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-MARB21-DCE-2013-0821-10:15",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-MARB21-DCE-2014-0828-11:00",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-MARB21-DCE-2015-0915-08:22",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-MARB21-DCE-2016-0728-09:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-MARB21-DCE-2017-0727-10:00",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-POOR22-DCE-2012-0816-09:25",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-POOR22-DCE-2013-0820-10:00",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-POOR22-DCE-2014-0827-10:12",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-POOR22-DCE-2015-0916-11:36",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-POOR22-DCE-2016-0726-10:51",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-POOR22-DCE-2017-0725-10:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TEAN04-DCE-2010-0923-10:20",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TEAN04-DCE-2012-0724-11:50",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TEAN04-DCE-2012-1010-09:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TEAN04-DCE-2013-0917-09:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TEAN04-DCE-2014-0924-10:57",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TEAN04-DCE-2015-0901-10:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TEAN04-DCE-2016-0803-10:35",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TEAN04-DCE-2017-1002-12:16",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TRAP08-DCE-2010-0824-11:30",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TRAP08-DCE-2011-0914-12:00",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TRAP08-DCE-2012-0904-13:45",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TRAP08-DCE-2013-0909-13:10",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TRAP08-DCE-2014-0915-15:32",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TRAP08-DCE-2015-0922-12:47",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"SEN06600-TRAP08-DCE-2017-0829-09:31",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
