"SAMPLEID","INDEX_NAME","INDEX_REGION","ni_total","nt_total"
"SEN06600-POOR22-DCE-2015-0916-11:36","BCG_MariNW_Bugs500ct","HiGrad-HiElev",548,56
"SEN06600-POOR22-DCE-2016-0726-10:51","BCG_MariNW_Bugs500ct","HiGrad-HiElev",536,48
"SEN06600-POOR22-DCE-2017-0725-10:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",554,59
"SEN06600-TEAN04-DCE-2010-0923-10:20","BCG_MariNW_Bugs500ct","HiGrad-HiElev",553,46
"SEN06600-TEAN04-DCE-2012-0724-11:50","BCG_MariNW_Bugs500ct","HiGrad-HiElev",554,42
"SEN06600-TEAN04-DCE-2012-1010-09:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",524,37
"SEN06600-TEAN04-DCE-2013-0917-09:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",579,46
"SEN06600-TEAN04-DCE-2014-0924-10:57","BCG_MariNW_Bugs500ct","HiGrad-HiElev",560,46
"SEN06600-TEAN04-DCE-2015-0901-10:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",530,59
"SEN06600-TEAN04-DCE-2016-0803-10:35","BCG_MariNW_Bugs500ct","HiGrad-HiElev",562,39
"SEN06600-TEAN04-DCE-2017-1002-12:16","BCG_MariNW_Bugs500ct","HiGrad-HiElev",501,45
"SEN06600-TRAP08-DCE-2010-0824-11:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",515,43
"SEN06600-TRAP08-DCE-2011-0914-12:00","BCG_MariNW_Bugs500ct","HiGrad-HiElev",542,59
"SEN06600-TRAP08-DCE-2012-0904-13:45","BCG_MariNW_Bugs500ct","HiGrad-HiElev",525,52
"SEN06600-TRAP08-DCE-2013-0909-13:10","BCG_MariNW_Bugs500ct","HiGrad-HiElev",552,54
"SEN06600-TRAP08-DCE-2014-0915-15:32","BCG_MariNW_Bugs500ct","HiGrad-HiElev",528,53
"SEN06600-TRAP08-DCE-2015-0922-12:47","BCG_MariNW_Bugs500ct","HiGrad-HiElev",521,59
"SEN06600-TRAP08-DCE-2017-0829-09:31","BCG_MariNW_Bugs500ct","HiGrad-HiElev",543,57
"SEN06600-TWEN05-DCE-2010-0928-13:20","BCG_MariNW_Bugs500ct","HiGrad-HiElev",536,47
"SEN06600-TWEN05-DCE-2011-0802-10:10","BCG_MariNW_Bugs500ct","HiGrad-HiElev",546,44
"SEN06600-TWEN05-DCE-2012-0815-10:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",519,41
"SEN06600-TWEN05-DCE-2013-0819-10:43","BCG_MariNW_Bugs500ct","HiGrad-HiElev",543,45
"SEN06600-TWEN05-DCE-2014-0826-13:30","BCG_MariNW_Bugs500ct","HiGrad-HiElev",555,47
"SEN06600-TWEN05-DCE-2015-0917-09:35","BCG_MariNW_Bugs500ct","HiGrad-HiElev",536,55
"SEN06600-TWEN05-DCE-2016-0727-09:54","BCG_MariNW_Bugs500ct","HiGrad-HiElev",524,48
"SEN06600-TWEN05-DCE-2017-0726-10:18","BCG_MariNW_Bugs500ct","HiGrad-HiElev",574,46
