"SAMPLEID","INDEX_NAME","SITE_TYPE","L1","L2","L3","L4","L5","L6"
"BIO06600-CAYA04-DCE-2015-0728-11:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.12962962962963,0.87037037,0,0
"BIO06600-DEER04-DCE-2015-1012-12:10","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.92307692307692,0.07692308,0,0,0
"BIO06600-GOLD77-DCE-2017-0816-16:02","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,0.9,0.1,0
"BIO06600-HUCK04-DCE-2012-0828-10:15","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.2,0.8,0,0,0
"BIO06600-HUCK04-DCE-2014-0805-11:45","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"BIO06600-HUCK04-DCE-2014-0805-12:00","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.7,0.3,0,0
"BIO06600-HUCK04-DCE-2015-1006-10:46","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.8,0.2,0,0,0
"BIO06600-HUCK04-DCE-2017-0802-10:08","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.6,0.4,0,0,0
"BIO06600-KALA04-DCE-2012-0830-11:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.8,0.2,0,0
"BIO06600-NSKO01-DCE-2011-0920-11:00","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.2,0.8,0,0,0
"BIO06600-NSKO01-DCE-2014-0917-11:36","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.0298507462686601,0.97014925,0,0
"BIO06600-NSKO01-DCE-2016-0915-10:04","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.01351351351351,0.98648649,0,0
"BIO06600-QUAR77-DCE-2015-0715-10:11","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.05182341650672,0.94817658,0,0,0
"BIO06600-RACE77-DCE-2015-0813-11:45","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.23076923076923,0.76923077,0,0,0
"BIO06600-RACE77-DCE-2017-0809-10:59","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.5,0.5,0,0,0
"BIO06600-ROBI77-DCE-2015-0930-08:25","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"BIO06600-RUSH04-DCE-2012-0918-09:15","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"BIO06600-RUSH04-DCE-2015-0908-08:33","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.8,0.2,0,0,0
"BIO06600-RUSH04-DCE-2016-0830-09:10","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"BIO06600-SINL77-DCE-2016-0921-09:58","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.4,0.6,0,0,0
"BIO06600-SUMM04-DCE-2012-0829-09:30","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.3,0.7,0,0,0
