INDEX_NAME,INDEX_CLASS,SAMPLEID,TAXAID,N_TAXA,NONTARGET,Thermal_indicator,Phylum,Class,Subclass,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Orthocladius (Symposiocladius),1,FALSE,cold,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,Orthocladius
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Paratanytarsus,11,FALSE,warm,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,Paratanytarsus
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Pericomaini,1,FALSE,cool,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Psychodidae,Psychodinae,Pericomaini,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Phaenopsectra,21,FALSE,warm,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,Phaenopsectra
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Procladius,11,FALSE,warm,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Procladiini,Procladius
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Psectrotanypus,3,FALSE,,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,Psectrotanypus
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Sialis,22,FALSE,warm,Arthropoda,Insecta,Pterygota,Megaloptera,,,Sialidae,,,Sialis
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Sphaeriidae,6,FALSE,warm,Mollusca,Bivalvia,Heterodonta,Veneroida,,Corbiculoidea,Sphaeriidae,,,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Tabanidae,9,FALSE,warm,Arthropoda,Insecta,Pterygota,Diptera,Brachycera,,Tabanidae,,,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Tanypodinae,15,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Tanytarsini,72,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Tanytarsus,76,FALSE,warm,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,Tanytarsus
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Tribelos,4,FALSE,warm,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,Tribelos
Therm_ORWA_Bugs500ct,ORWA,SampOD_7104_1,Zavrelimyia,9,FALSE,cool,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,Zavrelimyia
Therm_ORWA_Bugs500ct,ORWA,SampOD_7105_1,Acari,13,FALSE,eurythermal,Arthropoda,Arachnida,Acari,,,,,,,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7105_1,Ametor,1,FALSE,cool,Arthropoda,Insecta,Pterygota,Coleoptera,,Hydrophiloidea,Hydrophilidae,,,Ametor
Therm_ORWA_Bugs500ct,ORWA,SampOD_7105_1,Anacaena,1,FALSE,,Arthropoda,Insecta,Pterygota,Coleoptera,,Hydrophiloidea,Hydrophilidae,,,Anacaena
Therm_ORWA_Bugs500ct,ORWA,SampOD_7105_1,Baetis tricaudatus complex,2,FALSE,cowa,Arthropoda,Insecta,Pterygota,Ephemeroptera,,,Baetidae,,,Baetis
Therm_ORWA_Bugs500ct,ORWA,SampOD_7105_1,Boreochlus,1,FALSE,cold,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Podonominae,Boreochlini,Boreochlus
Therm_ORWA_Bugs500ct,ORWA,SampOD_7105_1,Capniidae,21,FALSE,cool,Arthropoda,Insecta,Pterygota,Plecoptera,,,Capniidae,,,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7105_1,Ceratopogoninae,12,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Ceratopogoninae,,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7105_1,Chironomidae,3,FALSE,eurythermal,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,,,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7105_1,Chloroperlidae,1,FALSE,cool,Arthropoda,Insecta,Pterygota,Plecoptera,,,Chloroperlidae,,,
Therm_ORWA_Bugs500ct,ORWA,SampOD_7105_1,Chyrandra,1,FALSE,,Arthropoda,Insecta,Pterygota,Trichoptera,,Limnephiloidea,Limnephilidae,,,Chyrandra
Therm_ORWA_Bugs500ct,ORWA,SampOD_7105_1,Cinygmula,5,FALSE,cool,Arthropoda,Insecta,Pterygota,Ephemeroptera,,,Heptageniidae,,,Cinygmula
Therm_ORWA_Bugs500ct,ORWA,SampOD_7105_1,Cladotanytarsus,1,FALSE,warm,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,Cladotanytarsus
Therm_ORWA_Bugs500ct,ORWA,SampOD_7105_1,Cryptochia,1,FALSE,cold,Arthropoda,Insecta,Pterygota,Trichoptera,,Limnephiloidea,Limnephilidae,Dicosmoecinae,,Cryptochia
Therm_ORWA_Bugs500ct,ORWA,SampOD_7105_1,Dicranota,8,FALSE,cool,Arthropoda,Insecta,Pterygota,Diptera,Nematocera,,Tipulidae,,,Dicranota
