TaxaID,SampleID,CollDate,N_TAXA,Changed,Rationale,OTU_BCG_MariNW,Match_Official,NonTarget,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,Thermal_indicator,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Eukiefferiella brehmi group,05014REFa,8/3/2005,1,no,FORMATTING,Eukiefferiella brehmi group,TRUE,FALSE,4,CG,multi,RHEO,NA,eurythermal,,19.31822769,24.621,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Brehmi Gr.,,,,Chironomidae
Eukiefferiella brehmi group,05014REF,8/3/2005,1,no,FORMATTING,Eukiefferiella brehmi group,TRUE,FALSE,4,CG,multi,RHEO,NA,eurythermal,,19.31822769,24.621,,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Brehmi Gr.,,,,Chironomidae
Glossosoma,06095DFW,8/7/2006,53,no,,Glossosoma,TRUE,FALSE,4,SC,multi,RHEO,NA,cool,,18.00857486,21.852,,,117159,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Glossosomatidae,Glossosomatinae,Glossosomatini,,Glossosoma,,,,,,Trichoptera
Glossosoma,05014REFa,8/3/2005,11,no,,Glossosoma,TRUE,FALSE,4,SC,multi,RHEO,NA,cool,,18.00857486,21.852,,,117159,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Glossosomatidae,Glossosomatinae,Glossosomatini,,Glossosoma,,,,,,Trichoptera
Glossosoma,05014REF,8/3/2005,5,no,,Glossosoma,TRUE,FALSE,4,SC,multi,RHEO,NA,cool,,18.00857486,21.852,,,117159,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Glossosomatidae,Glossosomatinae,Glossosomatini,,Glossosoma,,,,,,Trichoptera
Glossosomatidae,05014REF,8/3/2005,14,no,,Glossosomatidae,TRUE,FALSE,4,SC,UNKN,RHEO,NA,eurythermal,,17.93989545,22.002,,yes,117120,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Glossosomatidae,,,,,,,,,,Trichoptera
Gomphidae,05014REF,8/3/2005,3,no,,Gomphidae,TRUE,FALSE,3,PR,semi,DEPO,NA,warm,,20.08256675,24.12,,yes,101664,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Gomphidae,,,,,,,,,,Odonata
Gomphidae,05014REFa,8/3/2005,1,no,,Gomphidae,TRUE,FALSE,3,PR,semi,DEPO,NA,warm,,20.08256675,24.12,,yes,101664,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Gomphidae,,,,,,,,,,Odonata
Gumaga,05014REF,8/3/2005,2,no,,Gumaga,TRUE,FALSE,2,OM,semi,RHEO,NA,cowa,,18.90715954,21.625,,,117003,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Sericostomatidae,,,,Gumaga,,,,,,Trichoptera
Gumaga,05014REFa,8/3/2005,5,no,,Gumaga,TRUE,FALSE,2,OM,semi,RHEO,NA,cowa,,18.90715954,21.625,,,117003,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Sericostomatidae,,,,Gumaga,,,,,,Trichoptera
Heptageniidae,05014REF,8/3/2005,13,yes,,Heptageniidae,TRUE,FALSE,3,SC,uni,RHEO,NA,eurythermal,,16.16012832,22.225,,yes,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,,,,,,,Ephemeroptera
Heptageniidae,05014REFa,8/3/2005,26,yes,,Heptageniidae,TRUE,FALSE,3,SC,uni,RHEO,NA,eurythermal,,16.16012832,22.225,,yes,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,,,,,,,Ephemeroptera
Heterlimnius corpulentus,05014REF,8/3/2005,10,yes,only one species in Genus,Heterlimnius,TRUE,FALSE,3,SC,semi,RHEO,NA,cool,,17.084985,20.638,cool,,114167,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Heterlimnius,,,,,,Coleoptera
Heterlimnius corpulentus,06095DFW,8/7/2006,5,yes,only one species in Genus,Heterlimnius,TRUE,FALSE,3,SC,semi,RHEO,NA,cool,,17.084985,20.638,cool,,114167,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Heterlimnius,,,,,,Coleoptera
Heterlimnius corpulentus,05014REFa,8/3/2005,12,yes,only one species in Genus,Heterlimnius,TRUE,FALSE,3,SC,semi,RHEO,NA,cool,,17.084985,20.638,cool,,114167,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Heterlimnius,,,,,,Coleoptera
Hydropsyche,05014REFa,8/3/2005,43,no,,Hydropsyche,TRUE,FALSE,4,CF,uni,RHEO,NA,warm,,20.3927754,23.895,warm,,115453,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Hydropsychinae,,,Hydropsyche,,,,,,Trichoptera
Hydropsyche,06095DFW,8/7/2006,4,no,,Hydropsyche,TRUE,FALSE,4,CF,uni,RHEO,NA,warm,,20.3927754,23.895,warm,,115453,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Hydropsychinae,,,Hydropsyche,,,,,,Trichoptera
Hydropsyche,05014REF,8/3/2005,34,no,,Hydropsyche,TRUE,FALSE,4,CF,uni,RHEO,NA,warm,,20.3927754,23.895,warm,,115453,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Hydropsychinae,,,Hydropsyche,,,,,,Trichoptera
Hydropsychidae,05014REF,8/3/2005,28,no,,Hydropsychidae,TRUE,FALSE,4,UNKN,UNKN,RHEO,NA,eurythermal,,20.05802869,23.09,,yes,115398,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,,,,,,,,,,Trichoptera
